run_idx,label,tx_succeeded_per_sec,tx_p50_ms,tx_p95_ms
1, "Currency", 5978.2, 1.6, 2.2
1, "Token", 5117.1, 1.8, 2.4
1, "Mixed", 5173.5, 1.8, 2.3
2, "Currency", 5736.7, 1.8, 2.2
2, "Token", 5184.6, 1.8, 2.4
2, "Mixed", 5090.2, 1.8, 2.5
3, "Currency", 5378.0, 1.8, 2.3
3, "Token", 5225.1, 1.8, 2.3
3, "Mixed", 5190.4, 1.8, 2.4
4, "Currency", 5762.3, 1.8, 2.2
4, "Token", 5232.3, 1.8, 2.3
4, "Mixed", 5200.2, 1.8, 2.4
5, "Currency", 6291.6, 1.4, 2.1
5, "Token", 5183.4, 1.8, 2.3
5, "Mixed", 5224.1, 1.8, 2.3
6, "Currency", 5210.4, 1.8, 2.4
6, "Token", 5196.9, 1.8, 2.3
6, "Mixed", 5144.5, 1.8, 2.4
7, "Currency", 7687.6, 1.2, 1.5
7, "Token", 7570.2, 1.2, 1.5
7, "Mixed", 5626.4, 1.8, 2.4
8, "Currency", 5260.7, 1.8, 2.5
8, "Token", 5175.0, 1.8, 2.4
8, "Mixed", 5150.0, 1.8, 2.4
9, "Currency", 5707.3, 1.8, 2.3
9, "Token", 5105.4, 1.8, 2.4
9, "Mixed", 5172.1, 1.8, 2.4
10, "Currency", 4960.4, 1.9, 2.6
10, "Token", 5144.7, 1.8, 2.4
10, "Mixed", 5115.3, 1.8, 2.5
